GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,AV0AA205,AV0AA205M
"G0100010","Alabama","01","010","Autauga County","001","0010",55639,
"G0100030","Alabama","01","010","Baldwin County","003","0030",218289,
"G0100050","Alabama","01","010","Barbour County","005","0050",25026,
"G0100070","Alabama","01","010","Bibb County","007","0070",22374,
"G0100090","Alabama","01","010","Blount County","009","0090",57755,
"G0100110","Alabama","01","010","Bullock County","011","0110",10173,
"G0100130","Alabama","01","010","Butler County","013","0130",19726,
"G0100150","Alabama","01","010","Calhoun County","015","0150",114324,
"G0100170","Alabama","01","010","Chambers County","017","0170",33427,
"G0100190","Alabama","01","010","Cherokee County","019","0190",26035,
"G0100210","Alabama","01","010","Chilton County","021","0210",44147,
"G0100230","Alabama","01","010","Choctaw County","023","0230",12755,
"G0100250","Alabama","01","010","Clarke County","025","0250",23866,
"G0100270","Alabama","01","010","Clay County","027","0270",13285,
"G0100290","Alabama","01","010","Cleburne County","029","0290",14952,
"G0100310","Alabama","01","010","Coffee County","031","0310",52238,
"G0100330","Alabama","01","010","Colbert County","033","0330",54957,
"G0100350","Alabama","01","010","Conecuh County","035","0350",12219,
"G0100370","Alabama","01","010","Coosa County","037","0370",10696,
"G0100390","Alabama","01","010","Covington County","039","0390",37096,
"G0100410","Alabama","01","010","Crenshaw County","041","0410",13826,
"G0100430","Alabama","01","010","Cullman County","043","0430",83345,
"G0100450","Alabama","01","010","Dale County","045","0450",49293,
"G0100470","Alabama","01","010","Dallas County","047","0470",38184,
"G0100490","Alabama","01","010","DeKalb County","049","0490",71430,
"G0100510","Alabama","01","010","Elmore County","051","0510",81526,
"G0100530","Alabama","01","010","Escambia County","053","0530",36775,
"G0100550","Alabama","01","010","Etowah County","055","0550",102721,
"G0100570","Alabama","01","010","Fayette County","057","0570",16406,
"G0100590","Alabama","01","010","Franklin County","059","0590",31587,
"G0100610","Alabama","01","010","Geneva County","061","0610",26383,
"G0100630","Alabama","01","010","Greene County","063","0630",8221,
"G0100650","Alabama","01","010","Hale County","065","0650",14754,
"G0100670","Alabama","01","010","Henry County","067","0670",17123,
"G0100690","Alabama","01","010","Houston County","069","0690",105319,
"G0100710","Alabama","01","010","Jackson County","071","0710",51765,
"G0100730","Alabama","01","010","Jefferson County","073","0730",658615,265
"G0100750","Alabama","01","010","Lamar County","075","0750",13854,
"G0100770","Alabama","01","010","Lauderdale County","077","0770",92870,
"G0100790","Alabama","01","010","Lawrence County","079","0790",32969,
"G0100810","Alabama","01","010","Lee County","081","0810",163461,
"G0100830","Alabama","01","010","Limestone County","083","0830",96921,
"G0100850","Alabama","01","010","Lowndes County","085","0850",9936,
"G0100870","Alabama","01","010","Macon County","087","0870",18437,
"G0100890","Alabama","01","010","Madison County","089","0890",367686,
"G0100910","Alabama","01","010","Marengo County","091","0910",19138,
"G0100930","Alabama","01","010","Marion County","093","0930",29818,
"G0100950","Alabama","01","010","Marshall County","095","0950",96137,
"G0100970","Alabama","01","010","Mobile County","097","0970",413977,
"G0100990","Alabama","01","010","Monroe County","099","0990",21006,
"G0101010","Alabama","01","010","Montgomery County","101","1010",226451,
"G0101030","Alabama","01","010","Morgan County","103","1030",119352,
"G0101050","Alabama","01","010","Perry County","105","1050",9104,
"G0101070","Alabama","01","010","Pickens County","107","1070",20049,
"G0101090","Alabama","01","010","Pike County","109","1090",33274,
"G0101110","Alabama","01","010","Randolph County","111","1110",22732,
"G0101130","Alabama","01","010","Russell County","113","1130",57938,
"G0101170","Alabama","01","010","Shelby County","117","1170",216350,265
"G0101150","Alabama","01","010","St. Clair County","115","1150",88929,
"G0101190","Alabama","01","010","Sumter County","119","1190",12595,
"G0101210","Alabama","01","010","Talladega County","121","1210",80244,
"G0101230","Alabama","01","010","Tallapoosa County","123","1230",40450,
"G0101250","Alabama","01","010","Tuscaloosa County","125","1250",208854,
"G0101270","Alabama","01","010","Walker County","127","1270",63802,
"G0101290","Alabama","01","010","Washington County","129","1290",16336,
"G0101310","Alabama","01","010","Wilcox County","131","1310",10552,
"G0101330","Alabama","01","010","Winston County","133","1330",23712,
"G0200130","Alaska","02","020","Aleutians East Borough","013","0130",3389,
"G0200160","Alaska","02","020","Aleutians West Census Area","016","0160",5708,
"G0200200","Alaska","02","020","Anchorage Municipality","020","0200",292090,
"G0200500","Alaska","02","020","Bethel Census Area","050","0500",18263,
"G0200600","Alaska","02","020","Bristol Bay Borough","060","0600",739,121
"G0200630","Alaska","02","020","Chugach Census Area","063","0630",6495,
"G0200660","Alaska","02","020","Copper River Census Area","066","0660",2894,
"G0200680","Alaska","02","020","Denali Borough","068","0680",2502,390
"G0200700","Alaska","02","020","Dillingham Census Area","070","0700",4934,
"G0200900","Alaska","02","020","Fairbanks North Star Borough","090","0900",98455,
"G0201000","Alaska","02","020","Haines Borough","100","1000",2547,
"G0201050","Alaska","02","020","Hoonah-Angoon Census Area","105","1050",2135,
"G0201100","Alaska","02","020","Juneau City and Borough","110","1100",32099,
"G0201220","Alaska","02","020","Kenai Peninsula Borough","122","1220",58809,
"G0201300","Alaska","02","020","Ketchikan Gateway Borough","130","1300",13833,
"G0201500","Alaska","02","020","Kodiak Island Borough","150","1500",13383,
"G0201580","Alaska","02","020","Kusilvak Census Area","158","1580",8298,
"G0201640","Alaska","02","020","Lake and Peninsula Borough","164","1640",1156,390
"G0201700","Alaska","02","020","Matanuska-Susitna Borough","170","1700",107360,
"G0201800","Alaska","02","020","Nome Census Area","180","1800",10009,
"G0201850","Alaska","02","020","North Slope Borough","185","1850",9375,
"G0201880","Alaska","02","020","Northwest Arctic Borough","188","1880",7709,
"G0201950","Alaska","02","020","Petersburg Borough","195","1950",3278,
"G0201980","Alaska","02","020","Prince of Wales-Hyder Census Area","198","1980",6338,
"G0202200","Alaska","02","020","Sitka City and Borough","220","2200",8569,
"G0202300","Alaska","02","020","Skagway Municipality","230","2300",1300,163
"G0202400","Alaska","02","020","Southeast Fairbanks Census Area","240","2400",6911,
"G0202750","Alaska","02","020","Wrangell City and Borough","275","2750",2510,
"G0202820","Alaska","02","020","Yakutat City and Borough","282","2820",597,112
"G0202900","Alaska","02","020","Yukon-Koyukuk Census Area","290","2900",5305,
"G0400010","Arizona","04","040","Apache County","001","0010",71714,
"G0400030","Arizona","04","040","Cochise County","003","0030",126442,
"G0400050","Arizona","04","040","Coconino County","005","0050",142254,
"G0400070","Arizona","04","040","Gila County","007","0070",53846,
"G0400090","Arizona","04","040","Graham County","009","0090",38304,
"G0400110","Arizona","04","040","Greenlee County","011","0110",9465,
"G0400120","Arizona","04","040","La Paz County","012","0120",21035,
"G0400130","Arizona","04","040","Maricopa County","013","0130",4412779,
"G0400150","Arizona","04","040","Mohave County","015","0150",210998,
"G0400170","Arizona","04","040","Navajo County","017","0170",110271,
"G0400190","Arizona","04","040","Pima County","019","0190",1038476,
"G0400210","Arizona","04","040","Pinal County","021","0210",447559,
"G0400230","Arizona","04","040","Santa Cruz County","023","0230",46594,
"G0400250","Arizona","04","040","Yavapai County","025","0250",232396,
"G0400270","Arizona","04","040","Yuma County","027","0270",211931,
"G0500010","Arkansas","05","050","Arkansas County","001","0010",17761,
"G0500030","Arkansas","05","050","Ashley County","003","0030",20000,
"G0500050","Arkansas","05","050","Baxter County","005","0050",41673,
"G0500070","Arkansas","05","050","Benton County","007","0070",273510,
"G0500090","Arkansas","05","050","Boone County","009","0090",37525,
"G0500110","Arkansas","05","050","Bradley County","011","0110",10805,
"G0500130","Arkansas","05","050","Calhoun County","013","0130",5160,
"G0500150","Arkansas","05","050","Carroll County","015","0150",28062,
"G0500170","Arkansas","05","050","Chicot County","017","0170",10433,
"G0500190","Arkansas","05","050","Clark County","019","0190",22341,
"G0500210","Arkansas","05","050","Clay County","021","0210",14710,
"G0500230","Arkansas","05","050","Cleburne County","023","0230",25063,
"G0500250","Arkansas","05","050","Cleveland County","025","0250",8063,
"G0500270","Arkansas","05","050","Columbia County","027","0270",23620,
"G0500290","Arkansas","05","050","Conway County","029","0290",20895,
"G0500310","Arkansas","05","050","Craighead County","031","0310",109081,
"G0500330","Arkansas","05","050","Crawford County","033","0330",63118,
"G0500350","Arkansas","05","050","Crittenden County","035","0350",48381,
"G0500370","Arkansas","05","050","Cross County","037","0370",16576,
"G0500390","Arkansas","05","050","Dallas County","039","0390",7114,
"G0500410","Arkansas","05","050","Desha County","041","0410",11538,
"G0500430","Arkansas","05","050","Drew County","043","0430",18263,
"G0500450","Arkansas","05","050","Faulkner County","045","0450",124800,
"G0500470","Arkansas","05","050","Franklin County","047","0470",17785,
"G0500490","Arkansas","05","050","Fulton County","049","0490",12301,
"G0500510","Arkansas","05","050","Garland County","051","0510",99043,
"G0500530","Arkansas","05","050","Grant County","053","0530",18229,
"G0500550","Arkansas","05","050","Greene County","055","0550",45197,
"G0500570","Arkansas","05","050","Hempstead County","057","0570",21695,
"G0500590","Arkansas","05","050","Hot Spring County","059","0590",33667,
"G0500610","Arkansas","05","050","Howard County","061","0610",13267,
"G0500630","Arkansas","05","050","Independence County","063","0630",37585,
"G0500650","Arkansas","05","050","Izard County","065","0650",13596,
"G0500670","Arkansas","05","050","Jackson County","067","0670",16908,
"G0500690","Arkansas","05","050","Jefferson County","069","0690",68123,
"G0500710","Arkansas","05","050","Johnson County","071","0710",26475,
"G0500730","Arkansas","05","050","Lafayette County","073","0730",6728,
"G0500750","Arkansas","05","050","Lawrence County","075","0750",16511,
"G0500770","Arkansas","05","050","Lee County","077","0770",8963,
"G0500790","Arkansas","05","050","Lincoln County","079","0790",13278,
"G0500810","Arkansas","05","050","Little River County","081","0810",12345,
"G0500830","Arkansas","05","050","Logan County","083","0830",21619,
"G0500850","Arkansas","05","050","Lonoke County","085","0850",73163,
"G0500870","Arkansas","05","050","Madison County","087","0870",16393,
"G0500890","Arkansas","05","050","Marion County","089","0890",16586,
"G0500910","Arkansas","05","050","Miller County","091","0910",43515,
"G0500930","Arkansas","05","050","Mississippi County","093","0930",41396,
"G0500950","Arkansas","05","050","Monroe County","095","0950",6879,
"G0500970","Arkansas","05","050","Montgomery County","097","0970",8964,
"G0500990","Arkansas","05","050","Nevada County","099","0990",8249,
"G0501010","Arkansas","05","050","Newton County","101","1010",7753,
"G0501030","Arkansas","05","050","Ouachita County","103","1030",23597,
"G0501050","Arkansas","05","050","Perry County","105","1050",10342,
"G0501070","Arkansas","05","050","Phillips County","107","1070",18151,
"G0501090","Arkansas","05","050","Pike County","109","1090",10714,
"G0501110","Arkansas","05","050","Poinsett County","111","1110",23747,
"G0501130","Arkansas","05","050","Polk County","113","1130",19999,
"G0501150","Arkansas","05","050","Pope County","115","1150",63926,
"G0501170","Arkansas","05","050","Prairie County","117","1170",8138,
"G0501190","Arkansas","05","050","Pulaski County","119","1190",393078,
"G0501210","Arkansas","05","050","Randolph County","121","1210",17934,
"G0501250","Arkansas","05","050","Saline County","125","1250",120990,
"G0501270","Arkansas","05","050","Scott County","127","1270",10269,
"G0501290","Arkansas","05","050","Searcy County","129","1290",7898,
"G0501310","Arkansas","05","050","Sebastian County","131","1310",127670,
"G0501330","Arkansas","05","050","Sevier County","133","1330",16947,
"G0501350","Arkansas","05","050","Sharp County","135","1350",17217,
"G0501230","Arkansas","05","050","St. Francis County","123","1230",25477,
"G0501370","Arkansas","05","050","Stone County","137","1370",12582,
"G0501390","Arkansas","05","050","Union County","139","1390",39089,
"G0501410","Arkansas","05","050","Van Buren County","141","1410",16578,
"G0501430","Arkansas","05","050","Washington County","143","1430",236198,
"G0501450","Arkansas","05","050","White County","145","1450",78725,
"G0501470","Arkansas","05","050","Woodruff County","147","1470",6477,
"G0501490","Arkansas","05","050","Yell County","149","1490",21425,
"G0600010","California","06","060","Alameda County","001","0010",1661584,
"G0600030","California","06","060","Alpine County","003","0030",1159,172
"G0600050","California","06","060","Amador County","005","0050",39023,
"G0600070","California","06","060","Butte County","007","0070",223344,
"G0600090","California","06","060","Calaveras County","009","0090",45828,
"G0600110","California","06","060","Colusa County","011","0110",21491,
"G0600130","California","06","060","Contra Costa County","013","0130",1147788,
"G0600150","California","06","060","Del Norte County","015","0150",27692,
"G0600170","California","06","060","El Dorado County","017","0170",190345,
"G0600190","California","06","060","Fresno County","019","0190",990204,
"G0600210","California","06","060","Glenn County","021","0210",28060,
"G0600230","California","06","060","Humboldt County","023","0230",136101,
"G0600250","California","06","060","Imperial County","025","0250",180580,
"G0600270","California","06","060","Inyo County","027","0270",17930,
"G0600290","California","06","060","Kern County","029","0290",892458,
"G0600310","California","06","060","Kings County","031","0310",151090,
"G0600330","California","06","060","Lake County","033","0330",64276,
"G0600350","California","06","060","Lassen County","035","0350",30600,
"G0600370","California","06","060","Los Angeles County","037","0370",10040682,
"G0600390","California","06","060","Madera County","039","0390",155925,
"G0600410","California","06","060","Marin County","041","0410",259441,
"G0600430","California","06","060","Mariposa County","043","0430",17319,
"G0600450","California","06","060","Mendocino County","045","0450",87110,
"G0600470","California","06","060","Merced County","047","0470",273661,
"G0600490","California","06","060","Modoc County","049","0490",8853,
"G0600510","California","06","060","Mono County","051","0510",14395,
"G0600530","California","06","060","Monterey County","053","0530",432977,
"G0600550","California","06","060","Napa County","055","0550",138572,
"G0600570","California","06","060","Nevada County","057","0570",99417,
"G0600590","California","06","060","Orange County","059","0590",3170345,
"G0600610","California","06","060","Placer County","061","0610",391799,
"G0600630","California","06","060","Plumas County","063","0630",18844,
"G0600650","California","06","060","Riverside County","065","0650",2437864,
"G0600670","California","06","060","Sacramento County","067","0670",1537948,
"G0600690","California","06","060","San Benito County","069","0690",61547,
"G0600710","California","06","060","San Bernardino County","071","0710",2162532,
"G0600730","California","06","060","San Diego County","073","0730",3323970,
"G0600750","California","06","060","San Francisco County","075","0750",874784,
"G0600770","California","06","060","San Joaquin County","077","0770",751615,
"G0600790","California","06","060","San Luis Obispo County","079","0790",282517,
"G0600810","California","06","060","San Mateo County","081","0810",765623,
"G0600830","California","06","060","Santa Barbara County","083","0830",444895,
"G0600850","California","06","060","Santa Clara County","085","0850",1924379,
"G0600870","California","06","060","Santa Cruz County","087","0870",273170,
"G0600890","California","06","060","Shasta County","089","0890",179267,
"G0600910","California","06","060","Sierra County","091","0910",2898,172
"G0600930","California","06","060","Siskiyou County","093","0930",43516,
"G0600950","California","06","060","Solano County","095","0950",444538,
"G0600970","California","06","060","Sonoma County","097","0970",496801,
"G0600990","California","06","060","Stanislaus County","099","0990",546235,
"G0601010","California","06","060","Sutter County","101","1010",96315,
"G0601030","California","06","060","Tehama County","103","1030",64176,
"G0601050","California","06","060","Trinity County","105","1050",12541,
"G0601070","California","06","060","Tulare County","107","1070",463955,
"G0601090","California","06","060","Tuolumne County","109","1090",54147,
"G0601110","California","06","060","Ventura County","111","1110",845599,
"G0601130","California","06","060","Yolo County","113","1130",218774,
"G0601150","California","06","060","Yuba County","115","1150",77524,
"G0800010","Colorado","08","080","Adams County","001","0010",509844,91
"G0800030","Colorado","08","080","Alamosa County","003","0030",16153,
"G0800050","Colorado","08","080","Arapahoe County","005","0050",649980,140
"G0800070","Colorado","08","080","Archuleta County","007","0070",13588,
"G0800090","Colorado","08","080","Baca County","009","0090",3570,
"G0800110","Colorado","08","080","Bent County","011","0110",5677,
"G0800130","Colorado","08","080","Boulder County","013","0130",324682,
"G0800140","Colorado","08","080","Broomfield County","014","0140",69444,
"G0800150","Colorado","08","080","Chaffee County","015","0150",19977,
"G0800170","Colorado","08","080","Cheyenne County","017","0170",1999,215
"G0800190","Colorado","08","080","Clear Creek County","019","0190",9533,
"G0800210","Colorado","08","080","Conejos County","021","0210",8130,
"G0800230","Colorado","08","080","Costilla County","023","0230",3810,
"G0800250","Colorado","08","080","Crowley County","025","0250",5733,
"G0800270","Colorado","08","080","Custer County","027","0270",4941,
"G0800290","Colorado","08","080","Delta County","029","0290",30758,
"G0800310","Colorado","08","080","Denver County","031","0310",715878,174
"G0800330","Colorado","08","080","Dolores County","033","0330",1896,215
"G0800350","Colorado","08","080","Douglas County","035","0350",344280,
"G0800370","Colorado","08","080","Eagle County","037","0370",54960,
"G0800410","Colorado","08","080","El Paso County","041","0410",710499,
"G0800390","Colorado","08","080","Elbert County","039","0390",26230,
"G0800430","Colorado","08","080","Fremont County","043","0430",47725,
"G0800450","Colorado","08","080","Garfield County","045","0450",59605,
"G0800470","Colorado","08","080","Gilpin County","047","0470",6108,
"G0800490","Colorado","08","080","Grand County","049","0490",15536,
"G0800510","Colorado","08","080","Gunnison County","051","0510",17119,
"G0800530","Colorado","08","080","Hinsdale County","053","0530",781,141
"G0800550","Colorado","08","080","Huerfano County","055","0550",6769,
"G0800570","Colorado","08","080","Jackson County","057","0570",1316,164
"G0800590","Colorado","08","080","Jefferson County","059","0590",578795,
"G0800610","Colorado","08","080","Kiowa County","061","0610",1463,164
"G0800630","Colorado","08","080","Kit Carson County","063","0630",7246,
"G0800670","Colorado","08","080","La Plata County","067","0670",56138,
"G0800650","Colorado","08","080","Lake County","065","0650",7845,
"G0800690","Colorado","08","080","Larimer County","069","0690",350523,
"G0800710","Colorado","08","080","Las Animas County","071","0710",14323,
"G0800730","Colorado","08","080","Lincoln County","073","0730",5608,
"G0800750","Colorado","08","080","Logan County","075","0750",22282,
"G0800770","Colorado","08","080","Mesa County","077","0770",152962,
"G0800790","Colorado","08","080","Mineral County","079","0790",853,149
"G0800810","Colorado","08","080","Moffat County","081","0810",13150,
"G0800830","Colorado","08","080","Montezuma County","083","0830",26266,
"G0800850","Colorado","08","080","Montrose County","085","0850",42280,
"G0800870","Colorado","08","080","Morgan County","087","0870",28617,
"G0800890","Colorado","08","080","Otero County","089","0890",18284,
"G0800910","Colorado","08","080","Ouray County","091","0910",4890,
"G0800930","Colorado","08","080","Park County","093","0930",18345,
"G0800950","Colorado","08","080","Phillips County","095","0950",4343,
"G0800970","Colorado","08","080","Pitkin County","097","0970",17980,
"G0800990","Colorado","08","080","Prowers County","099","0990",12035,
"G0801010","Colorado","08","080","Pueblo County","101","1010",167412,
"G0801030","Colorado","08","080","Rio Blanco County","103","1030",6369,
"G0801050","Colorado","08","080","Rio Grande County","105","1050",11300,
"G0801070","Colorado","08","080","Routt County","107","1070",25317,
"G0801090","Colorado","08","080","Saguache County","109","1090",6730,
"G0801110","Colorado","08","080","San Juan County","111","1110",646,158
"G0801130","Colorado","08","080","San Miguel County","113","1130",8110,
"G0801150","Colorado","08","080","Sedgwick County","115","1150",2306,
"G0801170","Colorado","08","080","Summit County","117","1170",30735,
"G0801190","Colorado","08","080","Teller County","119","1190",24981,
"G0801210","Colorado","08","080","Washington County","121","1210",4869,
"G0801230","Colorado","08","080","Weld County","123","1230",315389,
"G0801250","Colorado","08","080","Yuma County","125","1250",10013,
"G0900010","Connecticut","09","090","Fairfield County","001","0010",944306,
"G0900030","Connecticut","09","090","Hartford County","003","0030",892153,
"G0900050","Connecticut","09","090","Litchfield County","005","0050",181143,
"G0900070","Connecticut","09","090","Middlesex County","007","0070",162742,
"G0900090","Connecticut","09","090","New Haven County","009","0090",855733,
"G0900110","Connecticut","09","090","New London County","011","0110",266868,
"G0900130","Connecticut","09","090","Tolland County","013","0130",150947,
"G0900150","Connecticut","09","090","Windham County","015","0150",116657,
"G1000010","Delaware","10","100","Kent County","001","0010",179124,
"G1000030","Delaware","10","100","New Castle County","003","0030",558306,
"G1000050","Delaware","10","100","Sussex County","005","0050",230249,
"G1100010","District of Columbia","11","110","District of Columbia","001","0010",701974,
"G1200010","Florida","12","120","Alachua County","001","0010",268105,
"G1200030","Florida","12","120","Baker County","003","0030",28679,
"G1200050","Florida","12","120","Bay County","005","0050",180076,
"G1200070","Florida","12","120","Bradford County","007","0070",27723,
"G1200090","Florida","12","120","Brevard County","009","0090",594001,
"G1200110","Florida","12","120","Broward County","011","0110",1942273,
"G1200130","Florida","12","120","Calhoun County","013","0130",14324,
"G1200150","Florida","12","120","Charlotte County","015","0150",185926,
"G1200170","Florida","12","120","Citrus County","017","0170",147938,
"G1200190","Florida","12","120","Clay County","019","0190",215294,
"G1200210","Florida","12","120","Collier County","021","0210",379345,
"G1200230","Florida","12","120","Columbia County","023","0230",70898,
"G1200270","Florida","12","120","DeSoto County","027","0270",37371,
"G1200290","Florida","12","120","Dixie County","029","0290",16740,
"G1200310","Florida","12","120","Duval County","031","0310",948651,
"G1200330","Florida","12","120","Escambia County","033","0330",316691,
"G1200350","Florida","12","120","Flagler County","035","0350",112854,
"G1200370","Florida","12","120","Franklin County","037","0370",11914,
"G1200390","Florida","12","120","Gadsden County","039","0390",45787,
"G1200410","Florida","12","120","Gilchrist County","041","0410",18245,
"G1200430","Florida","12","120","Glades County","043","0430",13777,
"G1200450","Florida","12","120","Gulf County","045","0450",15073,
"G1200470","Florida","12","120","Hamilton County","047","0470",14397,
"G1200490","Florida","12","120","Hardee County","049","0490",27027,
"G1200510","Florida","12","120","Hendry County","051","0510",41472,
"G1200530","Florida","12","120","Hernando County","053","0530",190700,
"G1200550","Florida","12","120","Highlands County","055","0550",104574,
"G1200570","Florida","12","120","Hillsborough County","057","0570",1451358,
"G1200590","Florida","12","120","Holmes County","059","0590",19530,
"G1200610","Florida","12","120","Indian River County","061","0610",156964,
"G1200630","Florida","12","120","Jackson County","063","0630",47409,
"G1200650","Florida","12","120","Jefferson County","065","0650",14278,
"G1200670","Florida","12","120","Lafayette County","067","0670",8576,
"G1200690","Florida","12","120","Lake County","069","0690",356115,
"G1200710","Florida","12","120","Lee County","071","0710",756570,
"G1200730","Florida","12","120","Leon County","073","0730",291863,
"G1200750","Florida","12","120","Levy County","075","0750",40979,
"G1200770","Florida","12","120","Liberty County","077","0770",8333,
"G1200790","Florida","12","120","Madison County","079","0790",18557,
"G1200810","Florida","12","120","Manatee County","081","0810",393847,
"G1200830","Florida","12","120","Marion County","083","0830",360210,
"G1200850","Florida","12","120","Martin County","085","0850",160420,
"G1200860","Florida","12","120","Miami-Dade County","086","0860",2705528,
"G1200870","Florida","12","120","Monroe County","087","0870",75137,
"G1200890","Florida","12","120","Nassau County","089","0890",85762,
"G1200910","Florida","12","120","Okaloosa County","091","0910",207430,
"G1200930","Florida","12","120","Okeechobee County","093","0930",41611,
"G1200950","Florida","12","120","Orange County","095","0950",1373784,
"G1200970","Florida","12","120","Osceola County","097","0970",363666,
"G1200990","Florida","12","120","Palm Beach County","099","0990",1482057,
"G1201010","Florida","12","120","Pasco County","101","1010",539885,
"G1201030","Florida","12","120","Pinellas County","103","1030",970985,
"G1201050","Florida","12","120","Polk County","105","1050",705735,
"G1201070","Florida","12","120","Putnam County","107","1070",73784,
"G1201130","Florida","12","120","Santa Rosa County","113","1130",179587,
"G1201150","Florida","12","120","Sarasota County","115","1150",427766,
"G1201170","Florida","12","120","Seminole County","117","1170",466695,
"G1201090","Florida","12","120","St. Johns County","109","1090",255410,
"G1201110","Florida","12","120","St. Lucie County","111","1110",320914,
"G1201190","Florida","12","120","Sumter County","119","1190",129938,
"G1201210","Florida","12","120","Suwannee County","121","1210",44290,
"G1201230","Florida","12","120","Taylor County","123","1230",21709,
"G1201250","Florida","12","120","Union County","125","1250",15282,
"G1201270","Florida","12","120","Volusia County","127","1270",546107,
"G1201290","Florida","12","120","Wakulla County","129","1290",32855,
"G1201310","Florida","12","120","Walton County","131","1310",71049,
"G1201330","Florida","12","120","Washington County","133","1330",25094,
"G1300010","Georgia","13","130","Appling County","001","0010",18428,
"G1300030","Georgia","13","130","Atkinson County","003","0030",8311,
"G1300050","Georgia","13","130","Bacon County","005","0050",11140,
"G1300070","Georgia","13","130","Baker County","007","0070",3090,
"G1300090","Georgia","13","130","Baldwin County","009","0090",45072,
"G1300110","Georgia","13","130","Banks County","011","0110",18900,21
"G1300130","Georgia","13","130","Barrow County","013","0130",81294,
"G1300150","Georgia","13","130","Bartow County","015","0150",106456,
"G1300170","Georgia","13","130","Ben Hill County","017","0170",16889,
"G1300190","Georgia","13","130","Berrien County","019","0190",19206,
"G1300210","Georgia","13","130","Bibb County","021","0210",153026,
"G1300230","Georgia","13","130","Bleckley County","023","0230",12870,
"G1300250","Georgia","13","130","Brantley County","025","0250",18924,
"G1300270","Georgia","13","130","Brooks County","027","0270",15548,
"G1300290","Georgia","13","130","Bryan County","029","0290",38321,
"G1300310","Georgia","13","130","Bulloch County","031","0310",77719,
"G1300330","Georgia","13","130","Burke County","033","0330",22567,
"G1300350","Georgia","13","130","Butts County","035","0350",24463,
"G1300370","Georgia","13","130","Calhoun County","037","0370",6301,
"G1300390","Georgia","13","130","Camden County","039","0390",53960,
"G1300430","Georgia","13","130","Candler County","043","0430",10834,
"G1300450","Georgia","13","130","Carroll County","045","0450",118692,
"G1300470","Georgia","13","130","Catoosa County","047","0470",67181,
"G1300490","Georgia","13","130","Charlton County","049","0490",13032,
"G1300510","Georgia","13","130","Chatham County","051","0510",289649,
"G1300530","Georgia","13","130","Chattahoochee County","053","0530",10470,
"G1300550","Georgia","13","130","Chattooga County","055","0550",24826,
"G1300570","Georgia","13","130","Cherokee County","057","0570",253780,
"G1300590","Georgia","13","130","Clarke County","059","0590",126952,
"G1300610","Georgia","13","130","Clay County","061","0610",2931,
"G1300630","Georgia","13","130","Clayton County","063","0630",287560,
"G1300650","Georgia","13","130","Clinch County","065","0650",6648,
"G1300670","Georgia","13","130","Cobb County","067","0670",756653,
"G1300690","Georgia","13","130","Coffee County","069","0690",43070,
"G1300710","Georgia","13","130","Colquitt County","071","0710",45510,
"G1300730","Georgia","13","130","Columbia County","073","0730",154257,
"G1300750","Georgia","13","130","Cook County","075","0750",17217,
"G1300770","Georgia","13","130","Coweta County","077","0770",145839,
"G1300790","Georgia","13","130","Crawford County","079","0790",12267,
"G1300810","Georgia","13","130","Crisp County","081","0810",22509,
"G1300830","Georgia","13","130","Dade County","083","0830",16183,
"G1300850","Georgia","13","130","Dawson County","085","0850",25277,
"G1300870","Georgia","13","130","Decatur County","087","0870",26595,
"G1300890","Georgia","13","130","DeKalb County","089","0890",755287,
"G1300910","Georgia","13","130","Dodge County","091","0910",20725,
"G1300930","Georgia","13","130","Dooly County","093","0930",13571,
"G1300950","Georgia","13","130","Dougherty County","095","0950",88696,
"G1300970","Georgia","13","130","Douglas County","097","0970",145063,
"G1300990","Georgia","13","130","Early County","099","0990",10218,
"G1301010","Georgia","13","130","Echols County","101","1010",3944,
"G1301030","Georgia","13","130","Effingham County","103","1030",62241,
"G1301050","Georgia","13","130","Elbert County","105","1050",19164,
"G1301070","Georgia","13","130","Emanuel County","107","1070",22525,
"G1301090","Georgia","13","130","Evans County","109","1090",10671,
"G1301110","Georgia","13","130","Fannin County","111","1110",25797,
"G1301130","Georgia","13","130","Fayette County","113","1130",113544,
"G1301150","Georgia","13","130","Floyd County","115","1150",97805,
"G1301170","Georgia","13","130","Forsyth County","117","1170",236605,
"G1301190","Georgia","13","130","Franklin County","119","1190",23015,
"G1301210","Georgia","13","130","Fulton County","121","1210",1051550,
"G1301230","Georgia","13","130","Gilmer County","123","1230",30986,
"G1301250","Georgia","13","130","Glascock County","125","1250",2984,
"G1301270","Georgia","13","130","Glynn County","127","1270",85008,
"G1301290","Georgia","13","130","Gordon County","129","1290",57756,
"G1301310","Georgia","13","130","Grady County","131","1310",24693,
"G1301330","Georgia","13","130","Greene County","133","1330",17808,
"G1301350","Georgia","13","130","Gwinnett County","135","1350",926414,
"G1301370","Georgia","13","130","Habersham County","137","1370",45204,
"G1301390","Georgia","13","130","Hall County","139","1390",201434,21
"G1301410","Georgia","13","130","Hancock County","141","1410",8500,
"G1301430","Georgia","13","130","Haralson County","143","1430",29608,
"G1301450","Georgia","13","130","Harris County","145","1450",34676,
"G1301470","Georgia","13","130","Hart County","147","1470",25981,
"G1301490","Georgia","13","130","Heard County","149","1490",11785,
